objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
cent_001,garcia_photo_2_0448r.jpg,,,El edificio de la Asociación Cristiana de Jovenes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-10,Asociación Cristiana de Jóvenes (Inauguraciones),Arquitectura;Inauguraciones;Iglesia Católica;Juventud,"Ciudad de México, México",19.432934,-99.148595,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",448,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_002,garcia_photo_1_0246r.jpg,,,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",246,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_003,garcia_photo_1_0248r.jpg,,,La vanguardia del desfile de carros alegóricos del comercio,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",248,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_004,garcia_photo_1_0249r.jpg,,,[La vanguardia del desfile de carros alegóricos del comercio],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",249,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_005,garcia_photo_2_0257r.jpg,,,El carro alegórico de la Agricultura,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",19.471922,-99.195622,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",257,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_006,garcia_photo_2_0261r.jpg,,,[El carro alegórico de la Agricultura],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Mujeres;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",261,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_007,garcia_photo_2_0269r.jpg,,,El carro alegórico de la Cervecería de Toluca y México,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Cerveceros;Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",269,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_008,garcia_photo_2_0281r.jpg,,,"El carro alegórico de ""El Palacio de Hierro""","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",281,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_009,garcia_photo_2_0283r.jpg,,,"[El carro alegórico de ""El Palacio de Hierro""]","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-04,Desfile de carros alegóricos del Comercio (Procesiones públicas),Carrozas de desfiles;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",283,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_010,garcia_photo_1_0215r.jpg,,,[Flecheros mexicanos],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",215,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_011,garcia_photo_1_0216r.jpg,,,Guerreros mexicanos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",216,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_012,garcia_photo_1_0217r.jpg,,,Caballeros-Tigres,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",217,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_013,garcia_photo_1_0223r.jpg,,,Doña Marina y sus acompañantes,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Indígenas;Mujeres;Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",223,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_014,garcia_photo_1_0230r.jpg,,,"El Oidor decano, el Virrey y el Alférez Real","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",230,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_015,garcia_photo_1_0237r.jpg,,,Carro alegórico del Estado de Michoacán,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Desfile Histórico (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434054,-99.140318,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",237,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_016,garcia_photo_2_0389r.jpg,,,Calles del 5 de Febrero (Norte a Sur),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.432445,-99.131193,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",389,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_017,garcia_photo_2_0390r.jpg,,,[Avenida del 5 de Mayo],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.36533,-99.204539,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",390,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_018,garcia_photo_2_0392r.jpg,,,[Avenida del 5 de Mayo],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.36533,-99.204539,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",392,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_019,garcia_photo_2_0393r.jpg,,,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",393,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_020,garcia_photo_2_0394r.jpg,,,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",394,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_021,garcia_photo_2_0395r.jpg,,,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",395,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_022,garcia_photo_2_0396r.jpg,,,Avenida de San Francisco (Ponientea Oriente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Mujeres;Indígenas;Vida en la calle,"Ciudad de México, México",19.371727,-99.1759,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",396,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_023,garcia_photo_2_0398r.jpg,,,Avenida del 16 de Septiembre (Oriente a Poniente),"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.295863,-99.011768,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",398,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_024,garcia_photo_2_0399r.jpg,,,[Detalle de adorno de la Avenida Juárez],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,El Grito,Vida en la calle,"Ciudad de México, México",19.35658,-99.298129,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",399,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_025,garcia_photo_3_0510r.jpg,,,Salida de concurrentes a la inauguración del Manicomio General,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-01,El Manicomio General (Inauguraciones de establecimientos públicos),Mujeres;Atención médica;Inauguraciones,"Ciudad de México, México",19.371022,-99.189446,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",510,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_026,garcia_photo_3_0513r.jpg,,,[Inauguración del Manicomio General],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-01,El Manicomio General (Inauguraciones de establecimientos públicos),Mujeres;Atención médica;Inauguraciones,"Ciudad de México, México",19.371022,-99.189446,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",513,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_027,garcia_photo_3_0528r.jpg,,,[Edificio para enfermas distinguidas en el Manicomio General],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-01,El Manicomio General (Inauguraciones de establecimientos públicos),Mujeres;Atención médica;Inauguraciones,"Ciudad de México, México",19.371022,-99.189446,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",528,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_028,garcia_photo_2_0290r.jpg,,,El Sr. Dip. D. Manuel H. San Juan lee su Canto a Morelos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-21,En la prisión de Morelos (Descubrimientos de lápidas conmemorativas),"Placas;Cárceles;Morelos, José María, 1765-1815","Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",290,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_029,garcia_photo_2_0292r.jpg,,,Lapida conmemorativa de la prisión de Morelos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-21,En la prisión de Morelos (Descubrimientos de lápidas conmemorativas),"Placas;Cárceles;Morelos, José María, 1765-1815","Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",292,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_030,garcia_photo_2_0293r.jpg,,,Lápida conmemorativa en la 1a de la Merced #154,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-09,La casa mortuoria del Lic. Andres Quintana Roo (Descubrimientos de lápidas conmemorativas),"Fotógrafos;Placas;Quintana Roo, Andrés, 1787-1851","Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",293,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_031,garcia_photo_3_0674r.jpg,,,"Vista parcial de los tendidos de la plaza de toros ""El Toreo"", el día de la corrida del Centenario","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Fiestas en las demarcaciones de la ciudad / Corrida del Centenario,Entretenimiento,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",674,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_032,garcia_photo_3_0675r.jpg,,,"[Vista parcial de los tendidos de la plaza de toros ""El Toreo"", el día de la corrida del Centenario]","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Fiestas en las demarcaciones de la ciudad / Corrida del Centenario,Entretenimiento,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",675,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_033,garcia_photo_4_0986r.jpg,,,"Entrada de la cuadrilla de toreros en la plaza de toros ""El Toreo"", el día de la corrida del Centenario","Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-15,Fiestas en las demarcaciones de la ciudad / Corrida del Centenario,Entretenimiento,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",986,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_034,garcia_photo_3_0645r.jpg,,,Garden - Party en Chapultepec.,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-22,Garden party en Chapultepec,"Mujeres;Fiestas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",645,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_035,garcia_photo_3_0657r.jpg,,,[Vista parcial de la iluminación del lago de Chapultepec],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-22,Garden party en Chapultepec,"Fiestas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",657,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_036,garcia_photo_3_0661r.jpg,,,El fuerte y uno de los buques del lago de Chapultepec,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-22,Garden party en Chapultepec,"Fiestas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",661,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_037,garcia_photo_3_0701r.jpg,,,La Avenida de San Francisco durante el gran desfile militar,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,Gran desfile,Procesiones,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",701,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_038,garcia_photo_3_0706r.jpg,,,Los alumnos del Colegio Militar en el gran desfile militar,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,Gran desfile,Procesiones,"Ciudad de México, México",19.432445,-99.131193,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",706,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_039,garcia_photo_3_0707r.jpg,,,[Los alumnos de la Escuela de Aspirantes en el gran desfile militar],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-16,Gran desfile,Procesiones,"Ciudad de México, México",19.432445,-99.131193,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",707,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_040,garcia_photo_1_0186r.jpg,,,[La Comisión N. del Centenario en la gran procesión cívica],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-14,Gran procesión cívica (Procesiones públicas),Procesiones,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",186,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_041,garcia_photo_1_0188r.jpg,,,La gran procesión cívica pasa por la Avenida de San Francisco,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-14,Gran procesión cívica (Procesiones públicas),Procesiones,"Ciudad de México, México",19.311932,-99.237327,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",188,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_042,garcia_photo_1_0193r.jpg,,,[La Comisión N. del Centenario en la gran procesión cívica],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-14,Gran procesión cívica (Procesiones públicas),Procesiones,"Ciudad de México, México",19.434394,-99.133082,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",193,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_043,garcia_photo_2_0336r.jpg,,,[La compañía de alumnos del Colegio Militar que hizo la guardia de honor en el homenaje a los niños héroes de 1847],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-08,Homenaje á los niños héroes de 1847 (Actos cívicos solemnes),"Guerra de México, 1846-1848;Niños y niñas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",336,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_044,garcia_photo_2_0339r.jpg,,,La concurrencia al acto oficial del homenaje a los niños héroes de 1847 ,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-08,Homenaje á los niños héroes de 1847 (Actos cívicos solemnes),"Guerra de México, 1846-1848;Niños y niñas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",339,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_045,garcia_photo_2_0344r.jpg,,,El público frente al monumento a los niños héroes de 1847,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-08,Homenaje á los niños héroes de 1847 (Actos cívicos solemnes),"Guerra de México, 1846-1848;Niños y niñas;Bosque de Chapultepec, Miguel Hidalgo, Ciudad de México, México","Ciudad de México, México",19.419481,-99.189456,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",344,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_046,garcia_photo_2_0309r.jpg,,,[Coronas que los michoacanos depositaron al pie del monumento a Morelos],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-11,Homenaje de la colonia michoacana á Morelos (Procesiones públicas),"Procesiones;Michoacán, México;Morelos, José María, 1765-1815","Ciudad de México, México",19.416398,-99.159269,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",309,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_047,garcia_photo_2_0313r.jpg,,,[El publico presencia el homenaje de los michoacanos a Morelos],"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-11,Homenaje de la colonia michoacana á Morelos (Procesiones públicas),"Procesiones;Michoacán, México;Morelos, José María, 1765-1815","Ciudad de México, México",19.416398,-99.159269,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",313,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_048,garcia_photo_2_0314r.jpg,,,El publico presencia el homenaje de los michoacanos a Morelos,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-11,Homenaje de la colonia michoacana á Morelos (Procesiones públicas),"Procesiones;Michoacán, México;Morelos, José María, 1765-1815","Ciudad de México, México",19.416398,-99.159269,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",314,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
cent_049,garcia_photo_3_0690r.jpg,,,Vista general de la Fábrica de Pólvora,"Cortés, Antonio; Carrillo, Antonio; Corona, Prisciliano; Escalante, José",1910-09-28,Inauguración de la Fábrica de Pólvora,Inauguración;Industrias manufactureras,"Ciudad de México, México",,,"Genaro García Collection: Photographs, Benson Latin American Collection, LLILAS Benson Latin American Studies and Collections, The University of Texas at Austin",690,Image;StillImage,image/jpeg,spa,Dominio público,https://creativecommons.org/publicdomain/mark/1.0/
